	A1004	Arecibo 	Arecibo Observatory
	112702	Moldova Ped U	Moldova Pedagogical University
	112774	Tomsk St Ped U	Tomsk State Pedagogical University
	112866	Odessa Mechnikov Natl U	Odessa Mechnikov National University
112866	A1442	Ast Obs Odessa	Astronomical Observatory of Odessa
	112877	Belarus St Tech U	Belarus State Technical University
	112930	Alexander Ioan Cuza U Iasi	Alexander Ioan Cuza University of Iasi
	112969	Ovidius U Constanta	Ovidius University of Constanta
	112971	Dunarea Jos U Galati	Dunarea de Jos University of Galati
	113020	U Marta Abreu Las Villas	University Marta Abreu of Las Villas, Cuba
	113025	U Camaguey	University of Camaguey, Cuba
	113028	Carlos Rafael Rodriguez U Cienfuegos	Carlos Rafael Rodriguez University of Cienfuegos, Cuba
	113029	U Granma	University of Granma, Cuba
	113031	U Havana	University of Havana, Cuba
	113069	U Piura	University of Piura, Peru
	113084	China U Geos Beijing	China University of Geosciences, Beijing
	113086	Natl U Eng	National University of Engineering, Peru
	113104	Alberta Res Council	Alberta Research Council, Canada
	113612	Fanshawe Coll	Fanshawe College, Canada
	113675	Natl Sci Eng Res Council	National Sciences and Engineering Research Council, Canada
113675	226216	CITA	Canadian Institute for Theoretical Astrophysics
	113957	Intl Space U	International Space University
	114243	Geo Surv Denmark Greenland	Geological Survey of Denmark and Greenland
	114311	Norweg Met Inst	Norwegian Meteorological Institute
	114738	Rafsanjan U Vali Asr	Rafsanjan University of Vali Asr, Iran
	114739	Sahand U Tech	Sahand University of Technology
	115503	CONACYT Mex	National Council for Science and Technology, Mexico
115503	42562	CIO	Center for Research in Optics, Mexico
115503	42621	INAOE	National Institute of Astrophysics, Optics and Electronics, Mexico
115503	54698	CICY	Center of Scientific Research of Yucatan, Mexico
115503	7082	CICESE	Ensenada Center for Research and Higher Education
	115510	Houston Adv Res Ctr	Houston Advanced Research Center
	115526	St U Amazonas	State University of Amazonas, Brazil
	116935	Numazu Natl Coll Tech	Numazu National College of Technology, Japan
	116937	Yonago Natl Coll Tech	Yonago National College of Technology, Japan
	117045	Urmia U	Urmia University, Iran
	117058	Natl Auton U Nicaragua	National Autonomous University of Nicaragua
	117267	NYAS	New York Academy of Sciences
	117301	Al Azhar U	Al Azhar University
	117449	AM Essaadi U	Abdelmalek Essaadi University, Morocco
	117566	Ryl Austr Air Force	Royal Australian Air Force
	117730	Shaanxi U Tech	Shaanxi University of Technology, China
	117757	Shangqiu Norm U	Shangqiu Normal University, China
	117763	Taiyuan U Sci Tech	Taiyuan University of Science and Technology, China
	117764	China Acad Aero	China Academy of Aerospace Aerodynamics
	117775	Henan Inst Eng	Henan Institute of Engineering, China
	117776	Zhengzhou U Light Indus	Zhengzhou University of Light Industry, China
	117788	Chuzhou U	Chuzhou University, China
	117793	Shanxi Datong U	Shanxi Datong University, China
	117801	Hubei U Educ	Hubei University of Education, China
	117802	Hunan Inst Tech	Hunan Institute of Technology, China
	117813	Nanjing Inst Tech	Nanjing Institute of Technology, China
	117816	Nanjing Aero Inst	Nanjing Aeronautical Institute, China
	117823	Quanzhou Norm U	Quanzhou Normal University, China
	118018	Hanoi U Sci Tech	Hanoi University of Science and Technology
	118102	Nagaoka U Tech	Nagaoka University of Technology, Japan
	118195	Guangdong Prov Dep Educ	Guangdong Province Department of Education, China
	118249	Xian U Sci Tech	Xian University of Science and Technology, China
	118378	Zhanjiang Norm U	Zhanjiang Normal University, China
	118397	Xinyang Norm U	Xinyang Normal University, China
	118412	Shenyang U Chem Tech	Shenyang University of Chemical Technology, China
	118460	Hunan U Humanities Sci Tech	Hunan University of Humanities Science and Technology, China
	118463	NW Inst Non Ferrous Metal Res	Northwest Institute for Non-ferrous Metal Research, China
	118520	ZAMG Cen Inst Met Geod	Central Institute for Meteorology and Geodynamics
	118529	WRC World Rad Ctr Davos	World Radiation Center, Davos
	118865	East West U	East West University, Bangladesh
	118966	Iceland Natl Land Surv	Iceland National Land Survey
	118985	Jomo Kenyatta U Agr Tech	Jomo Kenyatta University of Agriculture and Technology, Kenya
	119001	Kazakhstan NAS	Kazakhstan National Academy of Sciences
119001	A1454	Kazakhstan NAS Astrop Inst	Kazakhstan National Academy of Sciences, Astrophysical Institute
	119031	Mongolian Acad Sci	Mongolian Academy of Sciences
	119046	U Malaysia Perlis	University Malaysia Perlis
	119068	U Papua New Guinea	University of Papua New Guinea
	119110	U Nova Gorica	University of Nova Gorica
	119500	IPEN Brazil	Energy and Nuclear Research Institute, Brazil
	119542	Fed U Para	Federal University of Para, Brazil
	119667	Christ U Bangalore	Christ University, Bangalore
	119678	ARCI	Advanced Research Centre for Powder Metallurgy and New Materials, Delhi
	119680	NITK	National Institute of Technology Karnataka, India
	119825	Tokyo City U	Tokyo City University
119825	12957	Musashi Inst Tech	Musashi Institute of Technology, Tokyo
	119883	Kapitzy Inst Phy Prob	Kapitzy Institute of Physics Problems
	119969	CIC Argentina	Commission of Scientific Research, Argentina
119969	119970	CIOp	Center of Optical Research, Argentina
	119991	Span St Met Agency	Spanish State Meteorological Agency
	120016	INVEMAR	Instituto de Investigaciones Marinas y Costeras, Colombia
	120168	Hoch Mannheim	Hochschule Mannheim
	120323	Laser Ctr Hannover	Laser Center, Hannover
	120633	British U Egypt	British University in Egypt
	121343	U Nicosia	University of Nicosia
	121451	IIT Genoa	Italian Institute of Technology, Genoa
	121543	U Lubumbashi	University of Lubumbashi, Congo
	121568	Natl U St Augustin	National University of Saint Augustin, Peru
	121604	Shri GS Inst Tech Sci	Shri Govindram Seksaria Institute of Technology and Science, India
	121678	Bhilai Inst Tech	Bhilai Institute of Technology, India
	121871	German Acad Sci Leipzig	German Academy of Sciences, Leipzig
	121945	Bilecik U	Bilecik University, Turkey
	121991	Cyprus U Tech	Cyprus University of Technology
	122218	Maritime U Szczecin	Maritime University of Szczecin
	123264	Gurukula Kangri U	Gurukula Kangri University, India
	123290	Gorgan U	Gorgan University, Iran
	123305	Taibah U	Taibah University, Saudi Arabia
	123378	Korea Res Council Fund Sci Tech	Korea Research Council of Fundamental Science and Technology
123378	123591	Korea Polar Res Inst	Korea Polar Research Institute
123378	124272	Natl Fusion Res Inst	National Fusion Research Institute, Korea
123378	54669	KARI	Korea Aerospace Research Institute
123378	54680	KASSI	Korea Astronomy and Space Science Institute
123378	65351	KIST	Korea Institute of Science and Technology Information
123378	65355	KIOST	Korea Institute of Ocean Science and Technology
123378	65398	KBSI	Korea Basic Science Institute
123378	65405	KAERI	Korea Atomic Energy Research Institute
123378	65408	KRISS	Korea Research Institute of Standards and Science
	123491	Donetsk Natl Tech U	National Technical University, Ukraine
	123591	Korea Met Admin	Korea Meteorological Administration
	123650	INSTM	National Institute of Marine Sciences and Technologies, Tunisia
	123972	China Seis Bureau	China Seismological Bureau
	124184	NSPO Taiwan	National Space Program Office, Taiwan
	124186	S China Norm U	South China Normal University
	124198	Mouloud Mammeri U	Mouloud Mammeri University of Tizi Ouzou, Algeria
124203	243763	RAS Lebedev Phy Inst Astro Sp Ctr	RAS, Lebedev Physics Institute, Astro Space Center
	124261	Islamia Coll Peshawar	Islamia College, Peshawar
	124264	Geo Surv Namibia	Geological Survey of Namibia
	124268	Ind Inst Sci Educ Manauli	Indian Institute of Science Education, Manauli
	124275	Azerbaijan NAS	Azerbaijan National Academy of Sciences
124275	132038	Azerbaijan NAS Inst Phy	Azerbaijan National Academy of Sciences, Institute of Physics
124275	A1455	Azerbaijan NAS Shemakhy Obs	Azerbaijan National Academy of Sciences, Shemakhy Observatory
	124282	Natl Atmos Res Lab	National Atmosphere Research Laboratory, India
	124283	Natl Ctr Antarc Ocean Res	National Center for Antarctic and Ocean Research, India
	124291	TU Timisoara	Technical University of Timisoara
	124745	U Badji Mokhtar Annaba	University Badji Mokhtar Annaba, Algeria
	124749	U Djillali Liabes	Universite Djillali Liabes, Algeria
	125117	Quest U	Quest University, Canada
	125282	Alberta Geo Surv	Alberta Geological Survey
	125585	Guilan U	University of Guilan, Iran
	125619	Azarbaijan U	Azarbaijan Shahid Madani University, Iran
	125635	Noor U	Noor University, Iran
	125649	Arak U	Arak University, Iran
	125743	UCSI	University College Sedaya International, Malaysia
125743	173761	USCI Terenganu	USCI Terengganu Kuala, Malaysia
	125791	Enugu St U Sci Tech	Enugu State University of Science and Technology, Nigeria
	125815	Natl U Callao	National University of Callao, Peru
	126208	Lovely Prof U	Lovely Professional University, India
	126240	IIT Allahabad	Indian Institute of Technology, Allahabad
	126675	Poly U Pachuca	Polytechnical University of Pachuca, Mexico
	127355	King Abdullah U Sci Tech	King Abdullah University of Science and Technology, Saudi Arabia
	127740	U Kragujevcu	University of Kragujevcu
	128158	Bahir Dar U	Bahir Dar University, Ethiopia
	128165	Mekelle U	Mekelle University, Ethiopia
	128167	Hawassa U	Hawassa University, Ethiopia
	128173	Kumasi U Sci Tech	Kumasi University of Science and Technology, Ghana
	128778	U Tirana	University of Tirana, Albania
	128791	Aix-Marseille U	Aix-Marseille Universite
128791	129606	CPPM	Center for Particle Physics, Marseilles
128791	131923	Inst Fresnel	Fresnel Institute Marseille
128791	131981	LPCE	Laboratoire de Physique et de Chimie de l'Environnement
128791	399211	Aix-Marseille U Dep Phy	Aix-Marseille Universite, Departement de Physique
128791	55135	CEREGE	Centre Europeen de Recherche et d'Enseignement des Geosciences de l'Environnement
128791	56188	Inst Math Marseille	Institut de Mathematiques de Marseille
128791	57487	Obs Ast Haute Provence	Observatoire Astronomique de Haute Provence
128791	57489	OAMP	Observatoire Astronomique de Marseille Provence
128791	57490	Aix-Marseille U Lab d'Astrop	Aix-Marseille Universite, Laboratoire d'Astrophysique
128791	69429	CPT	Centre for Theoretical Physics, Marseilles
128791	A1259	Aix-Marseille U II	Aix-Marseille Universite II
128791	A1260	Aix-Marseille U III Paul Cezanne	Aix-Marseille Universite III, Paul Cezanne
	129784	IEMN Lille	Institut d'Electronique de Microelectronique et de Nanotechnologie, Lille
	131639	Ulsan Natl Inst Sci Tech	Ulsan National Institute of Science and Technology, Korea
	132043	Ilia St U	Ilia State University
132043	186953	Abastumani Astrop Obs	Abastumani Astrophysical Observatory
	133614	U Lyon	Universite de Lyon
133614	117124	CRAL Obs Lyon	Observatoire de Lyon, CRAL, Centre Recherche Astrophysique de Lyon
133614	131856	LGLTPE	Laboratoire de Geologie de Lyon, Terre, Planetes et Environnement
133614	27028	U Lumiere Lyon II	Universite Lumiere Lyon II
133614	27029	Jean Moulin U	Jean Moulin University, Lyon III
133614	27098	U Lyon I Claude Bernard	Universite Lyon I Claude Bernard
133614	69267	IPNL	Institut de Physique Nucleaire de Lyon
	133618	U Grenoble Alpes	Universite de Grenoble Alpes
133618	124106	LTHE	Laboratory for the Study of Transfers in Hydrology and Environment, Grenoble
133618	131766	LNCMI	National Laboratory of Intense Magnetic Fields, Grenoble
133618	27016	U Stendhal Grenoble III	Universite Stendhal Grenoble III
133618	27101	U Pierre Mendes-France Grenoble II	Universite Pierre Mendes-France Grenoble II
133618	56525	ISTerre	Institute of Earth Sciences, Grenoble
133618	57496	LEGI	Laboratoire des Ecoulements Geophysiques et Industriels, Grenoble
133618	131746	IPAG	Institute de Planetologie et d'Astrophysique de Grenoble
	133621	IPL	Institut Polytechnique de Lyon
	133632	CTA Brazil	Brazilian General Command for Aerospace Technology
133632	243366	Inst Adv Stud Brazil	Institute of Advanced Studies, Brazil
133632	74360	ITA Brazil	Technological Institute of Aviation, Brazil
133632	A1720	INPE Brazil	National Institute for Space Research, Brazil
	133746	Nagoya Muni Indus Res Inst	Nagoya Municipal Industrial Research Institute
	133872	ITEP	Alikhanov Institute for Theoretical and Experimental Physics
	133886	Kazan St Ped U	Kazan State Pedagogical University
	133889	Mendelev Sci Res Inst Metro	Mendelev Scientific and Research Institute for Metrology
	133933	Cen Aero Inst	Central Aerohydrodynamic Institute
	137665	U Lorraine	Universite de Lorraine
137665	105366	U Lorraine Ecole Natl Sup Geol	Universite de Lorraine, Ecole Nationale Superieure de Geology
137665	129707	LMOPS	Laboratoire Materiaux Optiques Photonique et Systemes, Metz
137665	129894	CNRS Nancy	Institut Jean Lamour, Nancy
137665	27035	U Paul Verlaine	Universite Paul Verlaine, Metz
137665	54693	GeoRessources	GeoRessources, Centre de Recherches Petrographiques et Geochimiques
137665	84348	ENSM Nancy	Ecole Nationale Superieure des Mines de Nancy
	138330	Natl Aero U	National Aerospace University, Kharkov
	138781	CMCC	Euro-Mediterranean Center for Climate Change
	140841	KIER	Korea Institute of Energy and Resources
	143447	Univ Sys Ohio	University System of Ohio
143447	1076	U Akron	University of Akron
143447	1354	Ohio U	Ohio University
143447	2514	U Cincinnati	University of Cincinnati
143447	2564	Cleveland St U	Cleveland State University
143447	2816	Wright St U	Wright State University
143447	4229	Kent St U	Kent State University
143447	6403	Miami U	Miami University
143447	8756	Youngstown St U	Youngstown State University
	143800	Westinghouse	Westinghouse Electric Company LLC
	145310	St Bureau Surv Mapping	State Bureau of Surveying and Mapping, China
	145440	Azarbaijan U Tarbiat Moallem	Azarbaijan University of Tarbiat Moallem, Iran
	145456	Tajik NAS	Tajik National Academy of Sciences
145456	A1456	Tajik NAS Inst Astrop	Tajik National Academy of Sciences, Institute of Astrophysics
	145631	VNIINM	Bochvar Scientific Research Institute of Non-Organic Materials, Moscow
	145632	VNIIOFI	All-Russia Scientific Institute for Optics and Physical Measurements, Moscow
	145633	VIAM	All-Russia Scientific Research Institute of Aviation Materials, Moscow
	145637	Russian Av Sp Agency	Russian Aviation and Space Agency
145637	242116	Russian Inst Sp Device Eng	Russian Institute of Space Device Engineering
145637	276950	Cen Dsgn Bureau Mach Bldg	Central Design Bureau of Machine Building
	145760	Can Inst Adv Res	Canadian Institute for Advanced Research
	148005	Airlangga U	Airlangga University, Indonesia
	148007	Sebelas Maret U	Sebelas Maret University, Indonesia
	148362	Natl U Rio Negro	National University of Rio Negro, Argentina
	149211	Tech Inst Ensenada	Technical Institute of Ensenada, Mexico
	149216	Tech Inst Saltillo	Technical Institute of Saltillo, Mexico
	150232	KIT	Karlsruhe Institute of Technology
150232	153622	KIT Dep Phy	Karlsruhe Institute of Technology, Department of Physics
150232	240182	KIT Inst Geod	Karlsruhe Institute of Technology, Institute for Geodesy
150232	267179	KIT Inst Nano	Karlsruhe Institute of Technology, Institute for Nanotechnology
150232	72099	KIT Inst Geop	Karlsruhe Institute of Technology, Institute for Geophysics
150232	A1501	Black Forest Obs	Black Forest Observatory
150232	A1502	KIT Inst Met Cli	Karlsruhe Institute of Technology, Institute for Meteorology and Climatology
150232	A1503	KIT Inst Exp Nuc Phy	Karlsruhe Institute of Technology, Institute for Experimental Nuclear Physics
	150662	Inst Mar Res Bergen	Institute of Marine Research, Bergen
	150847	Scottish U Env Res Ctr	Scottish Universities Environmental Research Center
	151313	Wales Inst Math Comp Sci	Wales Institute of Mathematical and Computational Sciences
	152634	Kunming U	Kunming University, China
	153570	TU Chile	Technical University of Chile
	154550	Sichuan U Arts Sci	Sichuan University of Arts and Science, China
	154624	Fed U Campina Grande	Federal University of Campina Grande, Brazil
	154703	Hellenic Air Force	Hellenic Air Force
	157915	Sinop U	Sinop University, Turkey
	158216	Najran U	Najran University, Saudi Arabia
	158223	Nrthn Borders U	Northern Borders University, Saudi Arabia
